datetime,day of week,total,place,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu croissant,mad garlic,milk tea,pandoro,cheese cake,lemon ade,orange pound,wiener,vanila latte,berry ade
17-08-2019 12.40,Sat,18800,후평 3동,1,,,1,,,,,,,,,,,1,
17-08-2019 12.57,Sat,29600,동면,2,1,2,,1,,,,,,,,,,,
17-08-2019 13.02,Sat,19800,석사동,1,1,1,,1,,,,,1,,,,,,
17-08-2019 13.19,Sat,20300,교동,1,1,1,1,,,1,,,,,,,,,
17-08-2019 13.38,Sat,32600,후평 1동,2,1,1,,,,2,,,,,,,,,
17-08-2019 14.07,Sat,19000,효자 1동,,,,,,,1,,,,,,1,,,
18-08-2019 11.01,Sun,17300,후평 2동,1,,,,2,,,,,,,,,,,
18-08-2019 11.06,Sun,36900,효자 2동,3,,,,2,,,,,2,,,,,,
18-08-2019 11.09,Sun,26600,약사명동,2,,,,,,1,,,,,,1,1,,
18-08-2019 11.09,Sun,22800,후평 1동,1,,,,1,,,,,1,,,,,,
18-08-2019 11.23,Sun,17800,후평 3동,1,,,1,,,,,,,,,1,1,,
18-08-2019 11.27,Sun,14100,교동,2,,,,,,,,,,,,,1,,
18-08-2019 12.04,Sun,20000,석사동,,,,,,,1,,,1,,,1,,,
18-08-2019 12.22,Sun,15000,후평 2동,,1,1,,,,,,,1,,,,,,
18-08-2019 12.24,Sun,16000,석사동,,,,,1,,,,,,,,,1,,
18-08-2019 12.50,Sun,23800,교동,1,,,,,,1,,,1,,,1,,,
18-08-2019 13.06,Sun,14300,동면,1,,,,1,,,,,,,,,,,
18-08-2019 13.29,Sun,14800,효자 2동,1,,,,1,,,,,1,,,,,,
18-08-2019 13.30,Sun,36100,후평 3동,2,,,1,2,,,,,,,,,,3,
18-08-2019 14.39,Sun,23000,후평 3동,,1,,,,1,1,,,,,,1,,,
18-08-2019 12.40,Sun,16300,신사우동,1,,,,,1,,,,,,,,,,
19-08-2019 11.29,Mon,22800,동면,1,,,2,1,,,,,,,,,,,
19-08-2019 11.59,Mon,16800,석사동,1,1,,,,,,,,,,,,1,,
19-08-2019 12.08,Mon,21300,신사우동,1,,,,,,,,,1,,,1,,,
19-08-2019 12.10,Mon,19300,후평 2동,1,1,,,,,,,,1,,,1,,,
19-08-2019 12.21,Mon,15800,후평 2동,1,1,1,,,,,,,1,,,1,,,
19-08-2019 12.34,Mon,23600,후평 3동,1,1,1,,,1,,,,,,,,,,
19-08-2019 13.06,Mon,19300,동면,1,1,,,,,2,,,,,,,,,
19-08-2019 13.24,Mon,14800,후평 1동,1,,,1,,,,,,,,,,,,
19-08-2019 13.53,Mon,24300,후평 1동,1,,,1,,,1,,1,1,,,,,,
19-08-2019 14.16,Mon,23800,소양동,1,,,,,,1,,,1,,,1,,,
19-08-2019 14.20,Mon,15300,효자 3동,1,,,1,,,1,,,,,,,,,
19-08-2019 15.14,Mon,15300,후평 3동,,1,1,,,,,,,,,,,,,
19-08-2019 15.27,Mon,21600,신사우동,2,,,,,,2,,,,,,,,,
19-08-2019 15.30,Mon,18800,근화동,1,,,,1,,,,,,,,1,,,
21-08-2019 11.02,Wed,19900,후평 3동,3,,,,1,,,,,,,,,,,
21-08-2019 11.04,Wed,18800,소양동,1,,,1,1,,,,,1,,,,,,
21-08-2019 11.07,Wed,15300,강남동,1,,,,,,,,,,,,,2,,
21-08-2019 11.28,Wed,54000,약사명동,5,3,,,1,,,,,,,,,,,
21-08-2019 12.13,Wed,18300,후평 2동,1,,,,,,1,,,,,,1,1,,
21-08-2019 12.19,Wed,16100,후평 3동,2,,,,,,,,,1,,,,,,
21-08-2019 12.29,Wed,19300,후평 1동,1,,,,,,,,,1,,1,,,,
21-08-2019 12.51,Wed,17500,후평 3동,,1,,,1,1,,,,,,,,,,
21-08-2019 13.01,Wed,15800,퇴계동,1,,,1,,,,,,,,,,2,,
21-08-2019 13.15,Wed,17000,후평 2동,,,,,2,,1,,,,,,,,,
21-08-2019 13.26,Wed,15600,동내면,1,,,,,,,,,,,1,,1,,
21-08-2019 13.43,Wed,21100,신사우동,2,,,1,,,,,1,,,,,,,
21-08-2019 14.11,Wed,25000,후평 2동,,1,,,2,,,,,,,,1,,,
21-08-2019 14.38,Wed,23000,동면,,1,,,,,,,,,,,1,,,1
22-08-2019 11.48,Thur,14800,후평 3동,1,,,,1,1,,,,,,,,,,
22-08-2019 12.08,Thur,23300,효자 2동,1,,,,1,,1,,,,,,,,,
22-08-2019 12.12,Thur,15800,효자 2동,1,,,,,,1,,,1,,,,,,
22-08-2019 12.55,Thur,16400,소양동,3,,,,,,,,,,,,,,,
22-08-2019 13.07,Thur,26600,후평 3동,2,,,,1,,,,,,,,1,,,
22-08-2019 13.49,Thur,23400,후평 1동,3,,,,,,,,,,,,,,,
22-08-2019 14.17,Thur,20600,효자 2동,2,,,,,,,,,1,,,,,,1
22-08-2019 14.35,Thur,15800,후평 1동,1,,,,,1,1,,,,,,,,,
